customer_id,login_days_30d,order_count_90d,support_tickets_90d,membership_months,days_since_last_login,billing_issue_count_90d,next_30d_churn
207,23,2,2,50,31,0,1
208,30,5,0,1,36,0,0
209,8,5,1,46,23,1,0
210,24,5,1,5,22,1,1
211,8,2,2,39,5,2,1
212,22,1,0,12,11,1,0
213,24,4,1,58,39,1,1
214,13,5,0,47,16,0,0
215,22,4,2,7,1,1,0
216,8,2,1,54,33,0,0
217,2,3,1,16,31,0,1
218,2,6,2,33,3,0,0
219,13,2,0,6,2,0,0
220,27,2,2,7,5,1,1
221,3,0,3,15,2,0,0
222,14,2,2,33,28,1,1
223,21,4,1,33,6,0,0
224,6,5,0,52,27,2,1
225,22,3,2,10,8,0,0
226,9,6,0,45,44,2,0
227,25,2,2,1,33,0,1
228,17,5,0,18,17,0,0
229,16,3,2,11,19,2,1
230,5,2,2,8,2,0,0
231,14,3,3,36,2,2,0
232,26,3,4,55,24,1,0
233,0,3,2,41,1,0,0
234,23,2,0,52,29,1,0
235,15,4,2,36,17,2,1
236,22,5,1,4,6,0,0
237,20,3,1,21,24,1,1
238,13,3,0,50,25,1,1
239,9,3,1,3,34,0,0
240,19,4,1,6,9,1,0
241,4,2,2,51,25,1,1
242,18,3,0,4,38,0,1
243,2,6,0,58,12,2,1
244,20,4,2,46,38,0,1
245,19,6,2,40,33,0,1
246,2,1,2,33,19,1,1
247,23,2,2,6,40,1,0
248,12,2,0,25,44,1,0
249,24,1,1,49,10,1,0
250,1,5,3,55,45,0,0
251,5,1,1,27,0,1,0
252,15,1,0,51,5,0,1
253,5,4,4,47,1,2,0
254,10,5,3,4,16,1,1
255,20,3,0,38,43,1,1
256,4,3,1,37,27,0,0
257,21,4,3,33,28,0,0
258,3,2,1,47,3,0,0
259,5,2,2,54,23,1,1
260,18,5,0,34,17,1,1
261,24,1,0,20,22,0,0
262,5,2,2,59,12,3,0
263,9,4,0,58,9,0,0
264,28,7,1,42,43,1,0
265,30,6,4,39,25,0,1
266,18,4,1,7,18,2,1
267,13,4,0,25,3,0,0
268,10,2,1,12,35,1,0
269,18,2,3,31,21,1,0
270,18,4,2,50,17,0,0
271,9,2,4,14,30,0,0
272,0,1,2,60,6,3,0
273,4,2,1,8,24,2,1
274,29,6,0,6,39,1,0
275,12,2,1,59,21,0,0
276,14,3,1,7,0,0,0
277,14,1,1,45,10,0,0
278,24,3,1,46,2,2,0
279,2,10,1,20,23,1,0
280,2,1,0,4,16,0,1
281,8,4,3,19,6,0,0
282,15,2,0,5,31,0,0
283,20,7,2,41,8,0,1
284,15,4,3,54,15,0,0
285,13,1,1,60,45,0,1
286,29,2,1,49,3,0,0
287,4,3,3,47,11,1,0
288,17,3,1,53,14,0,0
289,16,3,2,47,23,1,1
290,14,4,1,40,11,1,0
291,25,4,1,60,44,1,0
292,8,0,1,20,0,1,0
293,29,2,1,25,43,0,0
294,10,3,1,55,24,0,0
295,16,3,0,19,1,0,0
296,16,2,1,18,5,1,1
297,26,7,0,10,4,0,0
298,13,3,1,17,13,1,0
299,8,1,1,36,15,0,0
300,0,5,0,54,29,1,1
301,11,2,0,9,14,3,1
302,25,4,0,41,33,0,0
303,0,0,0,46,13,1,1
304,27,3,2,54,12,1,0
305,16,4,1,46,12,0,1
306,4,4,2,10,15,0,0
307,9,9,1,30,38,0,1
308,17,1,0,58,11,0,1
309,9,6,3,55,12,1,0
310,3,4,1,37,44,2,1
311,20,8,2,58,30,1,0
312,20,4,4,41,8,0,0
313,3,6,1,4,39,0,0
314,8,1,1,55,8,2,1
315,7,4,2,11,7,1,1
316,20,2,2,23,20,1,1
317,22,2,0,15,31,1,1
318,22,5,0,44,8,2,0
319,29,3,2,2,34,1,0
320,23,0,2,39,7,1,1
321,9,6,0,52,35,1,1
322,3,4,2,48,4,1,0
323,19,5,0,19,21,0,0
324,28,1,3,54,29,0,1
325,30,1,1,22,12,1,1
326,7,2,1,41,28,1,1
327,7,4,1,31,31,1,1
328,1,5,1,5,29,1,1
329,4,3,3,1,18,2,1
330,17,1,1,11,35,0,0
331,16,4,1,57,33,0,0
332,11,3,2,58,15,1,0
333,9,4,2,25,33,1,1
334,25,3,0,59,42,0,0
335,14,3,1,3,37,2,0
336,25,2,0,59,33,2,0
337,29,3,1,14,35,1,0
338,9,7,3,3,37,1,1
339,6,3,0,46,13,0,1
340,29,6,1,23,33,0,1
341,19,1,1,18,9,1,0
342,9,1,0,46,16,1,0
343,19,3,0,20,42,0,0
344,15,3,3,46,13,1,0
345,28,5,3,12,38,0,0
346,7,6,2,6,19,1,1
347,30,2,2,20,9,0,1
348,29,7,0,37,4,1,0
349,5,7,2,14,25,1,1
350,5,4,1,9,20,0,0
351,16,3,0,45,23,2,0
352,1,1,2,30,1,1,0
353,9,4,2,26,12,4,1
354,13,0,1,15,0,1,1
355,30,2,0,2,13,1,0
356,30,1,1,4,42,0,0
357,4,1,1,41,7,0,0
358,27,0,3,5,31,0,1
359,2,3,2,15,0,0,0
360,23,1,1,55,25,0,1
361,26,2,0,21,42,1,1
362,27,3,2,45,15,2,0
363,6,5,2,21,9,0,0
364,27,3,1,56,26,2,1
365,3,1,2,50,12,2,0
366,16,1,1,29,41,1,1
367,14,6,1,42,39,1,1
368,9,3,5,25,30,0,0
369,0,3,4,57,29,1,1
370,23,4,2,22,27,1,1
371,10,2,0,51,33,1,1
372,20,5,2,37,21,1,0
373,12,5,1,39,44,0,0
374,11,2,5,22,15,0,0
375,27,6,1,50,0,3,0
376,2,1,0,45,32,0,0
377,22,5,3,49,30,0,0
378,23,4,1,49,45,1,1
379,11,3,1,10,18,0,0
380,8,2,1,53,19,2,0
381,0,3,1,51,25,0,0
382,29,6,3,15,18,0,0
383,29,3,2,59,36,0,1
384,7,1,0,32,19,0,0
385,0,1,1,20,36,1,0
386,3,3,1,14,19,3,1
387,2,0,1,22,10,0,0
388,25,3,0,3,45,0,0
389,27,0,1,42,24,0,0
390,4,3,0,43,32,2,1
391,23,3,0,41,27,0,0
392,5,3,0,33,16,1,1
393,11,2,0,22,44,1,0
394,18,7,1,44,17,0,0
395,22,2,3,53,45,0,1
396,27,2,1,6,19,0,0
397,1,5,2,23,1,0,0
398,6,1,0,60,1,1,0
399,8,3,3,52,44,1,1
400,9,5,1,60,24,0,0
401,30,4,3,11,17,0,0
402,24,3,1,28,37,0,0
403,9,0,2,8,28,0,1
404,30,3,1,52,30,0,0
405,15,3,1,32,31,3,1
406,15,5,1,15,9,1,0
407,13,2,0,6,4,0,0
408,4,2,0,45,33,0,1
409,28,5,0,49,1,1,0
410,0,3,0,53,33,0,1
411,5,3,2,59,5,0,0
412,7,0,3,49,12,1,1
413,8,2,1,48,32,4,1
414,4,1,3,49,28,1,0
415,0,1,3,60,35,1,1
416,21,2,1,28,28,0,1
417,30,3,3,46,2,0,0
418,3,0,1,50,38,0,1
419,9,5,0,7,9,1,0
420,15,7,1,42,6,2,0
421,28,2,1,21,40,0,0
422,21,4,2,8,8,0,0
423,23,4,3,11,24,0,0
424,18,2,1,7,22,0,0
425,12,3,1,54,35,0,0
426,6,4,1,47,2,0,0
427,26,3,1,7,4,1,0
428,24,2,0,38,19,0,1
429,0,7,2,40,21,0,0
430,22,4,2,32,36,1,1
431,2,4,2,37,27,0,0
432,22,2,3,55,6,0,0
433,25,3,0,32,45,2,1
434,4,4,1,40,21,1,0
435,13,3,0,35,44,1,1
436,3,5,1,24,45,1,0
437,17,3,0,54,2,1,0
438,28,3,0,25,23,0,0
439,2,3,2,48,19,2,1
440,12,0,0,37,22,1,0
441,30,3,0,42,14,0,0
442,9,4,1,46,25,1,1
443,4,3,2,45,22,0,0
444,15,2,2,34,8,1,0
445,15,2,2,37,13,0,0
446,20,4,2,31,6,0,1
447,9,5,1,21,38,1,1
448,29,4,1,44,31,0,0
449,16,3,2,53,17,1,0
450,8,7,0,43,18,0,0
451,29,4,1,47,3,2,0
452,28,3,0,50,13,2,0
453,15,3,1,23,42,2,1
454,0,4,1,4,1,1,1
455,18,1,3,21,6,2,1
456,17,1,3,46,38,3,1
457,4,0,0,49,23,0,1
458,19,6,2,31,1,1,0
459,26,5,2,47,22,1,0
460,3,2,0,5,34,1,1
461,22,2,0,39,15,1,0
462,4,2,3,41,17,1,0
463,23,1,0,31,29,1,0
464,12,1,0,43,27,1,1
465,0,3,3,30,41,0,1
466,29,4,2,32,11,0,0
467,5,5,2,37,12,0,0
468,18,1,2,48,7,2,0
469,5,3,0,15,30,0,1
470,28,3,2,19,24,0,1
471,22,2,1,26,15,1,0
472,24,6,2,13,31,0,1
473,13,2,1,21,17,0,0
474,14,5,3,22,8,0,0
475,19,3,1,19,24,0,0
476,24,2,1,25,20,0,0
477,26,5,1,31,18,1,1
478,0,1,0,42,20,0,0
479,20,1,0,19,42,1,1
480,3,2,0,51,9,2,1
481,8,2,2,29,12,2,1
482,25,1,1,44,25,0,1
483,7,3,1,7,2,0,0
484,24,3,1,11,6,0,1
485,14,5,1,28,26,2,0
486,7,6,2,22,23,1,0
487,10,1,0,30,30,0,1
488,16,1,3,10,5,1,0
489,23,2,1,29,39,2,0
490,18,4,1,42,22,1,0
491,28,6,2,44,7,1,0
492,26,7,1,15,14,0,0
493,23,3,2,21,10,0,1
494,18,1,0,32,20,0,0
495,8,7,2,32,21,0,1
496,12,2,1,48,19,1,0
497,3,3,2,24,21,1,0
498,11,5,0,41,41,0,0
499,28,5,2,54,44,0,1
500,13,1,2,18,22,0,1
501,3,3,3,50,44,1,1
502,20,1,1,20,37,0,0
503,29,5,1,21,37,0,1
504,26,3,1,40,10,0,0
505,8,6,3,38,20,1,1
506,14,0,1,33,16,0,0
507,16,4,4,14,4,1,0
508,7,6,1,6,3,1,0
509,8,1,0,55,28,0,0
510,7,2,1,53,19,2,1
511,30,2,3,54,37,2,1
512,23,4,3,31,30,1,1
513,26,7,0,54,3,1,0
514,25,4,1,29,38,2,0
515,29,3,1,5,22,0,0
516,3,4,0,12,26,0,0
517,27,3,2,17,44,2,1
518,2,4,3,23,29,2,1
519,14,2,1,57,1,0,0
520,18,5,2,20,8,1,0
521,11,1,0,37,19,0,0
522,4,2,1,17,1,2,0
523,5,7,4,39,7,2,1
524,25,1,3,35,36,0,0
525,9,2,1,10,6,2,1
526,9,0,1,28,7,1,1
527,28,2,0,7,23,2,1
528,4,5,1,54,4,0,0
529,28,2,2,43,11,0,0
530,28,6,0,57,43,3,1
531,18,0,1,53,29,1,1
532,5,2,0,14,44,0,1
533,4,6,0,43,16,0,1
534,8,7,1,7,28,1,1
535,17,5,0,58,10,2,0
536,4,1,2,48,17,0,0
537,14,5,2,41,8,2,0
538,3,2,1,60,38,2,1
539,16,7,0,51,8,1,0
540,0,8,3,52,9,0,0
541,21,2,1,7,21,1,0
542,1,3,1,2,19,0,1
543,6,3,1,58,14,0,0
544,5,4,1,16,16,0,0
545,25,5,0,26,13,0,0
546,1,3,2,3,41,1,1
547,13,3,1,38,26,0,0
548,18,4,0,50,42,2,0
549,15,5,1,51,45,0,1
550,21,5,1,35,29,0,0
551,24,4,2,40,37,0,1
552,12,3,0,31,5,0,1
553,25,2,2,27,43,2,1
554,9,2,2,34,22,1,1
555,30,4,1,57,32,0,0
556,15,3,1,16,11,0,0
557,22,2,1,29,4,0,0
558,27,3,2,37,40,1,1
559,24,3,5,35,20,1,1
560,26,3,1,2,6,2,0
561,16,4,1,18,30,0,1
562,1,1,0,39,2,1,0
563,15,3,1,42,20,0,0
564,5,8,2,45,32,1,1
565,27,1,1,60,33,0,1
566,7,5,2,41,20,1,0
567,7,2,0,35,17,0,0
568,7,4,1,20,38,0,0
569,19,1,0,23,8,0,0
570,17,2,1,50,3,0,1
571,29,5,1,29,7,0,0
572,12,4,1,43,36,2,1
573,8,6,1,8,21,0,0
574,1,1,0,8,1,1,0
575,0,1,1,13,7,0,0
576,11,3,2,12,1,1,0
577,28,1,0,37,37,3,0
578,16,1,0,39,21,0,1
579,27,0,0,34,3,0,0
580,3,4,1,18,10,3,1
581,2,2,3,35,28,1,1
582,25,7,1,8,27,1,0
583,3,6,1,29,37,0,1
584,1,1,1,10,1,0,1
585,12,3,1,5,3,1,1
586,28,2,1,10,1,0,0
587,21,2,2,7,18,0,1
588,3,4,1,29,33,0,1
589,25,5,0,33,30,1,1
590,26,2,3,37,9,0,0
591,24,2,2,27,30,1,1
592,27,2,2,11,30,0,1
593,7,2,3,2,8,0,0
594,30,1,3,43,34,0,0
595,9,2,0,59,19,0,0
596,24,1,2,17,2,0,0
597,17,1,0,13,17,0,1
598,24,3,1,19,35,3,1
599,19,0,1,13,32,0,1
600,19,2,3,14,12,2,0
601,19,5,3,30,34,0,1
602,24,4,2,48,17,0,0
603,22,4,1,43,21,1,0
604,4,3,1,58,3,0,0
605,25,3,1,22,45,2,0
606,16,2,3,30,38,0,1
607,10,1,0,23,8,2,0
608,15,2,2,3,25,1,1
609,29,2,0,24,35,1,0
610,26,5,0,16,23,1,0
611,25,4,0,29,9,0,0
612,14,1,3,10,44,0,0
613,24,1,3,45,12,0,1
614,11,3,2,51,15,0,0
615,21,2,1,58,17,0,0
616,19,5,1,6,40,1,0
617,7,3,0,8,23,1,1
618,8,0,0,58,33,2,1
619,1,4,1,51,41,1,0
620,4,3,1,36,42,0,1
621,13,2,2,20,39,0,1
622,14,2,2,32,41,0,0
623,5,8,2,33,43,0,1
624,12,2,1,51,45,0,1
625,18,1,2,32,29,0,0
626,7,4,0,2,6,3,1
627,10,4,0,42,5,0,0
628,11,2,0,47,36,0,1
629,15,4,0,18,14,1,0
630,11,3,2,7,37,0,1
631,22,5,1,9,42,0,0
632,10,3,1,51,29,0,0
633,13,3,1,27,35,0,1
634,11,2,3,32,12,0,0
635,5,5,1,58,19,0,0
636,21,3,4,4,44,2,1
637,7,1,2,13,37,2,1
638,9,4,0,50,9,1,0
639,24,6,0,33,43,1,0
640,29,4,1,2,22,2,0
641,20,3,0,43,38,0,0
642,28,3,0,9,23,0,0
643,26,4,1,47,27,1,0
644,14,2,0,48,7,0,0
645,23,8,1,50,15,1,0
646,10,1,3,28,33,0,1
647,14,4,1,17,38,0,0
648,16,8,1,53,4,1,0
649,29,1,0,34,3,0,0
650,26,3,1,39,31,0,0
651,15,6,0,9,20,1,0
652,20,4,1,38,39,2,1
653,6,3,0,35,3,0,0
654,24,2,0,18,16,1,0
655,17,3,0,47,1,0,0
656,16,2,0,9,32,0,0
657,23,4,3,44,39,0,1
658,19,1,2,58,7,3,1
659,2,2,0,35,14,2,1
660,8,3,2,7,38,1,1
661,5,3,1,34,1,0,0
662,22,4,1,32,43,1,1
663,1,2,2,34,40,0,1
664,6,2,0,17,7,0,1
665,18,2,2,38,6,1,1
666,21,5,1,16,31,3,0
667,15,1,3,34,0,1,0
668,26,3,1,36,23,0,0
669,28,3,2,39,3,2,1
670,4,2,2,48,24,2,1
671,29,4,3,53,16,0,0
672,19,1,4,47,32,0,1
673,19,3,3,48,40,0,1
674,2,1,2,53,22,0,1
675,19,5,2,15,29,0,0
676,22,7,0,18,27,0,0
677,18,0,2,32,45,0,0
678,2,1,1,28,10,2,0
679,16,1,3,43,10,0,0
680,29,4,2,1,17,0,0
681,22,1,1,9,33,0,0
682,4,2,3,45,39,0,0
683,29,5,0,50,12,0,0
684,29,3,2,19,5,0,1
685,5,2,0,19,27,1,1
686,24,1,1,34,27,1,0
687,12,3,1,29,17,0,1
688,18,4,1,11,8,1,0
689,13,6,1,31,39,2,0
690,24,2,2,50,38,0,0
691,30,2,0,44,34,1,0
692,24,1,2,50,26,0,0
693,28,2,0,39,12,0,0
694,29,2,0,53,18,2,0
695,2,3,2,15,3,0,1
696,7,7,2,3,11,2,1
697,22,1,1,7,20,0,0
698,18,1,2,60,20,3,0
699,1,1,2,39,3,0,1
700,2,3,1,15,44,0,1
701,16,1,2,52,12,0,1
702,19,4,0,19,23,1,0
703,5,4,3,36,21,3,1
704,5,5,6,15,21,1,1
705,4,1,1,6,38,0,0
706,17,2,2,17,34,0,1
707,0,4,0,14,39,2,1
708,17,2,5,34,17,0,0
709,14,1,1,2,12,0,0
710,14,7,1,15,19,0,0
711,21,3,3,35,25,1,0
712,16,2,1,24,15,1,0
713,22,4,1,39,21,0,0
714,23,2,2,40,6,0,1
715,28,6,0,58,26,2,0
716,24,1,1,51,32,0,0
717,16,3,0,14,24,3,0
718,15,4,2,42,40,1,0
719,7,3,2,38,45,1,1
720,18,3,1,36,41,3,1
721,4,1,1,48,4,3,1
722,28,3,1,9,40,0,1
723,26,0,1,23,15,0,0
724,3,7,1,49,20,3,0
725,24,5,2,54,18,0,0
726,3,2,0,3,13,0,0
727,22,3,0,29,40,1,1
728,2,2,1,16,29,2,1
729,15,6,2,11,44,0,1
730,20,2,2,4,43,1,1
731,22,2,1,33,19,0,0
732,12,3,1,41,33,0,1
733,28,3,2,32,23,0,0
734,24,3,6,23,22,2,1
735,6,4,2,47,34,1,1
736,20,3,1,40,31,2,1
737,22,3,1,55,41,0,1
738,10,2,1,21,35,0,1
739,22,0,0,15,28,1,0
740,27,5,4,28,42,1,0
741,25,3,2,31,4,0,0
742,23,0,1,28,35,1,1
743,19,4,2,50,18,1,1
744,8,3,2,3,19,0,1
745,24,4,1,32,35,0,1
746,11,4,0,26,12,0,0
747,16,6,1,13,40,0,1
748,9,7,0,39,22,2,0
749,9,3,1,49,16,1,1
750,4,4,2,33,15,0,1
751,29,5,1,6,19,2,0
752,4,6,1,5,43,0,0
753,2,8,1,26,4,1,0
754,29,3,1,41,23,3,1
755,17,3,0,19,38,0,1
756,13,3,3,19,21,1,1
757,22,0,0,52,26,1,0
758,11,4,1,1,16,1,1
759,3,2,3,5,6,1,0
760,22,4,2,10,29,0,0
761,5,3,1,60,42,1,1
762,17,5,2,30,23,5,1
763,29,7,2,10,19,1,0
764,29,6,1,19,5,1,0
765,11,2,1,59,43,1,1
766,24,4,2,42,39,0,0
767,18,3,0,14,41,0,0
768,14,5,2,15,16,0,0
769,4,5,0,5,28,0,1
770,11,2,2,47,19,0,1
771,20,4,0,9,10,0,0
772,30,3,1,18,9,1,0
773,0,1,0,21,17,1,1
774,22,2,0,38,25,1,1
775,26,5,2,37,5,1,0
776,29,3,2,48,32,1,0
777,13,4,2,18,21,1,1
778,3,4,3,24,40,0,1
779,8,4,1,24,12,0,0
780,26,4,2,3,2,1,0
781,27,0,1,45,14,1,0
782,19,2,0,33,44,0,1
783,3,3,3,29,14,0,1
784,3,3,1,60,32,0,1
785,14,2,3,11,38,1,1
786,18,3,1,59,13,1,1
787,1,4,1,41,29,0,0
788,21,2,2,14,9,1,0
789,16,4,1,41,16,0,0
790,0,5,0,46,13,1,0
791,2,1,2,22,30,0,1
792,14,2,0,21,40,0,1
793,22,1,1,51,11,1,0
794,25,4,1,10,13,1,1
795,13,2,0,1,37,0,0
796,9,3,1,40,21,0,0
797,30,0,0,55,23,1,0
798,14,4,2,31,32,1,0
799,9,1,0,9,6,0,0
800,13,7,5,33,40,0,1
