customer_id,website_visits_30d,order_count_90d,membership_months,avg_discount_rate_90d,next_30d_sales
C0207,26,1,45,0.064,206634
C0208,38,4,19,0.146,240118
C0209,38,2,3,0.016,221050
C0210,21,3,25,0.125,169447
C0211,26,3,53,0.132,241426
C0212,17,6,9,0.045,187557
C0213,16,1,33,0.118,104229
C0214,32,3,12,0.053,150377
C0215,40,6,26,0.077,201291
C0216,24,1,9,0.11,162248
C0217,21,2,45,0.08,138643
C0218,27,2,49,0.025,142700
C0219,24,4,46,0.041,166231
C0220,27,7,43,0.059,272617
C0221,40,4,15,0.129,287992
C0222,32,4,32,0.029,284252
C0223,36,4,7,0.107,149280
C0224,25,5,23,0.162,214354
C0225,31,1,31,0.047,108007
C0226,28,2,41,0.006,197872
C0227,42,6,6,0.111,274261
C0228,30,3,49,0.047,179930
C0229,30,7,28,0.04,272940
C0230,36,1,53,0.16,172990
C0231,19,2,32,0.021,193829
C0232,34,0,33,0.012,145204
C0233,28,2,42,0.044,192564
C0234,19,5,50,0.198,149198
C0235,37,2,10,0.029,155832
C0236,23,7,31,0.09,337112
C0237,27,2,2,0.052,178375
C0238,36,6,29,0.076,202532
C0239,31,7,49,0.047,281440
C0240,29,5,52,0.035,203097
C0241,35,1,18,0.081,205619
C0242,36,5,24,0.035,243900
C0243,20,3,34,0.11,148027
C0244,36,10,24,0.031,346026
C0245,24,6,11,0.173,145932
C0246,38,3,19,0.082,159386
C0247,27,4,25,0.107,205086
C0248,37,4,32,0.08,258199
C0249,39,6,56,0.058,227794
C0250,23,4,33,0.044,180680
C0251,29,4,24,0.084,239659
C0252,39,7,40,0.055,252149
C0253,20,6,47,0.124,262441
C0254,25,3,26,0.114,181529
C0255,37,4,30,0.109,290573
C0256,32,4,14,0.106,196725
C0257,28,5,52,0.088,243834
C0258,36,4,53,0.052,271584
C0259,33,0,11,0.042,61538
C0260,31,3,21,0.044,171089
C0261,33,4,17,0.097,192560
C0262,30,2,56,0.022,178398
C0263,23,4,4,0.09,203594
C0264,33,1,13,0.019,148166
C0265,22,3,19,0.088,136736
C0266,33,8,34,0.07,313084
C0267,41,1,15,0.035,202415
C0268,23,7,33,0.019,227672
C0269,19,2,45,0.139,169451
C0270,30,3,50,0.071,199469
C0271,33,1,6,0.033,122085
C0272,31,4,9,0.142,145687
C0273,23,4,6,0.102,226637
C0274,23,9,55,0.099,303868
C0275,31,2,40,0.023,207103
C0276,31,3,32,0.034,165672
C0277,25,1,48,0.007,119217
C0278,19,2,36,0.028,184299
C0279,29,0,15,0.059,139756
C0280,27,5,31,0.069,233573
C0281,29,4,43,0.09,248840
C0282,37,4,3,0.032,186161
C0283,33,6,37,0.009,258777
C0284,28,1,30,0.026,110823
C0285,17,4,5,0.106,195322
C0286,31,2,16,0.128,138971
C0287,33,5,27,0.054,285900
C0288,28,6,21,0.048,227686
C0289,16,2,18,0.111,130548
C0290,13,2,39,0.063,162445
C0291,21,2,25,0.041,138865
C0292,22,2,30,0.107,142883
C0293,40,1,48,0.108,186189
C0294,25,2,6,0.055,162834
C0295,24,1,22,0.113,106090
C0296,32,1,5,0.035,117032
C0297,30,3,56,0.059,210430
C0298,28,0,12,0.077,132670
C0299,30,2,50,0.03,175405
C0300,18,5,12,0.037,248500
C0301,39,4,20,0.044,212041
C0302,31,6,37,0.078,255321
C0303,28,4,50,0.132,225774
C0304,32,3,11,0.133,137508
C0305,23,1,13,0.108,82055
C0306,27,2,53,0.04,157727
C0307,29,2,20,0.163,206744
C0308,27,6,13,0.007,222851
C0309,32,5,45,0.105,237587
C0310,20,1,6,0.099,147199
C0311,32,3,53,0.016,260471
C0312,25,4,53,0.054,261658
C0313,27,3,52,0.072,171702
C0314,31,3,18,0.023,156056
C0315,18,0,7,0.067,138091
C0316,33,4,26,0.026,215820
C0317,21,3,21,0.066,150313
C0318,41,2,58,0.073,241032
C0319,27,4,38,0.016,238935
C0320,20,7,57,0.058,256839
C0321,28,2,46,0.099,187550
C0322,36,2,43,0.008,215370
C0323,34,6,7,0.085,203540
C0324,31,3,5,0.085,170182
C0325,30,4,3,0.16,158496
C0326,32,3,36,0.08,164775
C0327,37,5,13,0.029,207161
C0328,30,3,60,0.073,232189
C0329,31,4,8,0.078,182269
C0330,27,2,57,0.116,167085
C0331,29,4,41,0.126,226884
C0332,31,4,7,0.074,151976
C0333,19,0,4,0.049,86778
C0334,25,5,24,0.075,255949
C0335,27,7,21,0.05,256028
C0336,27,5,19,0.077,209417
C0337,22,3,32,0.023,179260
C0338,29,4,8,0.098,120744
C0339,26,3,8,0.091,181019
C0340,29,8,42,0.074,415786
C0341,30,1,60,0.03,161606
C0342,45,4,17,0.026,221511
C0343,29,8,56,0.125,352476
C0344,25,2,21,0.153,215377
C0345,21,4,21,0.084,218144
C0346,31,4,6,0.158,126694
C0347,19,5,26,0.11,229219
C0348,27,3,30,0.036,267098
C0349,23,2,40,0.076,182265
C0350,23,2,10,0.055,90339
C0351,31,2,12,0.089,164434
C0352,22,4,26,0.068,143816
C0353,15,2,5,0.086,155828
C0354,28,3,9,0.098,134984
C0355,17,3,38,0.042,165659
C0356,34,6,58,0.063,257168
C0357,19,2,35,0.075,127924
C0358,29,2,9,0.103,201305
C0359,31,2,60,0.132,206981
C0360,24,6,32,0.03,217928
C0361,37,1,44,0.037,127727
C0362,41,6,12,0.034,191910
C0363,42,2,35,0.12,159705
C0364,19,4,5,0.082,168879
C0365,31,1,38,0.036,183388
C0366,42,3,13,0.069,179458
C0367,33,1,55,0.013,220759
C0368,20,5,4,0.019,154957
C0369,43,7,40,0.022,299130
C0370,27,0,9,0.11,64015
C0371,30,1,42,0.106,194257
C0372,29,2,30,0.04,233413
C0373,23,4,59,0.045,155886
C0374,40,0,40,0.028,135524
C0375,33,2,23,0.025,204817
C0376,30,6,6,0.037,177567
C0377,32,3,36,0.076,218514
C0378,25,2,27,0.069,195022
C0379,25,3,4,0.01,148638
C0380,36,5,35,0.033,264249
C0381,27,7,13,0.07,315832
C0382,27,1,15,0.077,193105
C0383,27,2,1,0.038,127071
C0384,31,1,23,0.088,123707
C0385,39,2,14,0.044,135921
C0386,36,3,5,0.095,216244
C0387,38,6,27,0.085,222938
C0388,14,5,14,0.05,171060
C0389,27,1,9,0.18,136494
C0390,32,1,29,0.056,128175
C0391,33,4,4,0.112,208554
C0392,28,5,60,0.106,349138
C0393,34,4,29,0.025,207894
C0394,31,5,60,0.041,242291
C0395,29,1,53,0.123,205027
C0396,24,4,59,0.046,228265
C0397,37,2,33,0.082,236137
C0398,38,2,26,0.036,181444
C0399,32,1,44,0.087,154615
C0400,32,7,5,0.037,191280
C0401,30,3,51,0.1,154209
C0402,35,3,20,0.083,127541
C0403,25,5,1,0.089,210747
C0404,27,3,15,0.128,127861
C0405,31,3,15,0.08,222045
C0406,14,1,1,0.052,81519
C0407,36,4,41,0.025,218803
C0408,29,4,6,0.101,160795
C0409,38,4,51,0.125,275529
C0410,33,3,28,0.149,175013
C0411,30,3,44,0.101,170242
C0412,30,0,21,0.029,150262
C0413,43,7,8,0.146,307192
C0414,29,5,11,0.044,201197
C0415,39,2,39,0.05,213850
C0416,27,3,43,0.086,195593
C0417,23,3,17,0.047,171415
C0418,40,6,22,0.091,243040
C0419,32,2,57,0.051,264794
C0420,37,1,52,0.122,165773
C0421,27,4,25,0.098,257101
C0422,29,5,15,0.032,204850
C0423,36,5,19,0.103,267938
C0424,35,3,33,0.061,226328
C0425,33,3,35,0.156,250520
C0426,28,2,12,0.055,114128
C0427,32,1,4,0.087,164957
C0428,37,6,30,0.068,333865
C0429,28,1,48,0.03,141646
C0430,33,2,10,0.064,155135
C0431,34,2,25,0.082,153639
C0432,22,3,10,0.056,138555
C0433,24,5,15,0.039,261270
C0434,28,5,37,0.091,201582
C0435,21,8,18,0.042,230886
C0436,26,5,16,0.086,269162
C0437,24,1,60,0.084,181579
C0438,38,5,11,0.066,306293
C0439,28,4,12,0.113,179325
C0440,28,6,56,0.151,288050
C0441,22,8,34,0.085,262926
C0442,24,4,3,0.044,174236
C0443,28,2,26,0.115,101857
C0444,32,3,34,0.102,224233
C0445,27,0,16,0.09,116822
C0446,16,4,33,0.017,173096
C0447,27,2,39,0.103,158227
C0448,14,5,16,0.06,151684
C0449,26,5,49,0.009,257940
C0450,36,4,28,0.004,171932
C0451,28,6,58,0.043,289306
C0452,38,7,6,0.009,336776
C0453,23,3,20,0.076,216473
C0454,31,3,44,0.014,142941
C0455,32,7,54,0.058,281754
C0456,25,5,14,0.043,217941
C0457,26,5,59,0.04,243040
C0458,27,2,12,0.046,91201
C0459,15,2,25,0.046,138966
C0460,31,2,19,0.117,164159
C0461,28,3,26,0.17,260101
C0462,23,4,55,0.128,215877
C0463,32,4,44,0.024,262000
C0464,20,6,48,0.104,208372
C0465,24,3,16,0.124,133340
C0466,27,2,57,0.015,201908
C0467,31,3,27,0.041,221761
C0468,30,1,40,0.1,123491
C0469,20,1,42,0.036,129323
C0470,36,3,40,0.129,169615
C0471,29,3,37,0.089,188327
C0472,30,2,29,0.09,197092
C0473,26,3,39,0.121,178806
C0474,39,4,55,0.115,249534
C0475,29,2,24,0.024,112977
C0476,24,4,31,0.042,171467
C0477,42,5,11,0.073,303324
C0478,23,2,22,0.041,142282
C0479,28,3,47,0.09,166519
C0480,25,4,39,0.09,198783
C0481,29,2,13,0.026,86970
C0482,19,3,33,0.084,132924
C0483,33,0,49,0.032,188472
C0484,24,5,8,0.044,190733
C0485,23,3,4,0.078,216516
C0486,27,12,24,0.102,374923
C0487,20,8,40,0.03,278641
C0488,16,5,19,0.113,219421
C0489,21,4,50,0.087,116969
C0490,31,3,51,0.082,217933
C0491,34,3,32,0.054,194905
C0492,46,2,23,0.079,248181
C0493,22,4,3,0.034,197284
C0494,17,4,50,0.053,157611
C0495,23,1,54,0.118,200015
C0496,35,8,27,0.083,298909
C0497,23,3,31,0.087,144154
C0498,32,5,46,0.223,277689
C0499,38,4,42,0.049,228673
C0500,31,3,9,0.091,227976
