customer_id,login_days_30d,order_count_90d,membership_months,days_since_last_login,monthly_fee,support_tickets_90d,contract_type,region,device_type,next_30d_churn
121,13,4.0,72,44,66756.0,1.0,monthly,seoul,desktop,0
122,20,4.0,18,9,60286.0,0.0,two_year,seoul,mobile,0
123,20,2.0,1,55,45990.0,4.0,annual,gyeonggi,tablet,1
124,14,5.0,20,18,63849.0,2.0,two_year,gyeonggi,desktop,0
125,26,3.0,64,26,65849.0,3.0,monthly,gyeonggi,mobile,0
126,17,2.0,59,8,43472.0,1.0,monthly,seoul,desktop,0
127,2,2.0,8,12,47605.0,2.0,monthly,seoul,tablet,1
128,23,5.0,12,56,,0.0,monthly,seoul,desktop,0
129,17,5.0,41,17,38640.0,6.0,annual,seoul,mobile,0
130,19,2.0,48,31,43863.0,1.0,monthly,seoul,desktop,0
131,17,6.0,71,59,56112.0,0.0,annual,other,desktop,1
132,17,5.0,55,38,40819.0,1.0,annual,seoul,mobile,0
133,2,4.0,16,2,47298.0,3.0,monthly,seoul,desktop,0
134,17,2.0,3,21,36620.0,1.0,monthly,gyeonggi,mobile,1
135,24,2.0,46,23,57567.0,1.0,annual,gyeonggi,desktop,0
136,9,1.0,40,16,61386.0,1.0,two_year,seoul,desktop,1
137,18,3.0,67,14,61035.0,0.0,monthly,seoul,mobile,0
138,0,2.0,42,30,55185.0,0.0,two_year,other,tablet,0
139,10,1.0,37,22,31884.0,1.0,annual,,mobile,0
140,13,3.0,22,17,45701.0,1.0,,gyeonggi,mobile,1
141,30,5.0,7,25,48890.0,1.0,monthly,other,mobile,1
142,6,4.0,64,20,48951.0,,annual,seoul,mobile,0
143,8,6.0,60,13,56125.0,2.0,annual,gyeonggi,desktop,0
144,12,4.0,12,27,76383.0,1.0,monthly,seoul,mobile,0
145,30,9.0,51,57,67181.0,1.0,two_year,seoul,tablet,0
146,26,2.0,27,30,40187.0,1.0,two_year,seoul,tablet,0
147,1,3.0,32,36,65176.0,1.0,monthly,other,desktop,1
148,7,2.0,62,60,64605.0,0.0,annual,seoul,mobile,0
149,25,3.0,61,37,42909.0,0.0,annual,,desktop,0
150,1,2.0,14,13,67733.0,1.0,annual,other,mobile,1
151,26,2.0,23,24,52594.0,4.0,annual,seoul,desktop,0
152,8,4.0,60,29,33851.0,2.0,monthly,other,mobile,0
153,28,2.0,67,28,61828.0,1.0,monthly,gyeonggi,tablet,0
154,9,,6,9,58254.0,0.0,monthly,gyeonggi,mobile,0
155,13,7.0,61,6,51585.0,0.0,two_year,gyeonggi,mobile,0
156,20,3.0,36,21,54438.0,0.0,monthly,gyeonggi,tablet,0
157,3,2.0,43,55,44214.0,1.0,two_year,seoul,mobile,1
158,17,,6,43,64152.0,2.0,monthly,other,desktop,1
159,15,4.0,49,51,54348.0,,monthly,other,tablet,0
160,24,2.0,49,10,57497.0,3.0,two_year,other,mobile,0
161,30,1.0,48,25,60357.0,3.0,annual,gyeonggi,mobile,0
162,20,1.0,57,35,37681.0,4.0,monthly,gyeonggi,mobile,0
163,12,2.0,69,26,41586.0,1.0,monthly,gyeonggi,desktop,0
164,12,3.0,62,25,21851.0,3.0,monthly,seoul,tablet,0
165,12,4.0,54,21,63471.0,1.0,monthly,gyeonggi,mobile,1
166,25,4.0,71,3,36817.0,0.0,monthly,gyeonggi,desktop,0
167,9,3.0,49,52,56989.0,0.0,annual,gyeonggi,mobile,1
168,5,2.0,49,56,60565.0,3.0,monthly,seoul,desktop,1
169,10,1.0,40,4,64035.0,3.0,monthly,gyeonggi,desktop,0
170,0,4.0,56,25,36940.0,3.0,monthly,gyeonggi,desktop,1
171,3,6.0,6,31,54023.0,0.0,monthly,gyeonggi,mobile,0
172,2,2.0,37,47,80054.0,2.0,two_year,other,mobile,1
173,23,5.0,31,60,,1.0,monthly,,mobile,1
174,22,0.0,66,25,69810.0,4.0,monthly,seoul,mobile,0
175,21,3.0,6,45,60062.0,2.0,annual,seoul,mobile,0
176,14,4.0,47,57,39923.0,2.0,two_year,gyeonggi,desktop,0
177,22,4.0,14,50,65779.0,1.0,annual,seoul,mobile,0
178,4,0.0,64,17,52630.0,2.0,annual,other,mobile,1
179,27,3.0,62,49,,0.0,two_year,seoul,desktop,0
180,15,,17,25,45507.0,1.0,annual,seoul,mobile,0
181,29,2.0,63,1,52406.0,0.0,two_year,seoul,mobile,0
182,4,2.0,36,46,57462.0,2.0,monthly,gyeonggi,tablet,1
183,15,2.0,70,50,58694.0,2.0,annual,other,mobile,1
184,21,2.0,53,20,62406.0,1.0,two_year,other,mobile,0
185,15,1.0,3,27,46312.0,2.0,two_year,gyeonggi,mobile,0
186,13,3.0,15,22,34851.0,1.0,monthly,other,mobile,1
187,5,3.0,30,7,79372.0,4.0,annual,seoul,mobile,0
188,11,2.0,16,60,92339.0,1.0,monthly,gyeonggi,mobile,1
189,7,,10,1,61711.0,2.0,annual,other,mobile,0
190,9,5.0,71,33,35140.0,0.0,monthly,seoul,desktop,0
191,21,5.0,63,0,43402.0,0.0,annual,other,mobile,0
192,19,2.0,32,42,62637.0,0.0,annual,,mobile,0
193,18,1.0,16,54,75117.0,0.0,,seoul,mobile,1
194,11,4.0,14,39,36807.0,,monthly,gyeonggi,tablet,1
195,29,5.0,66,36,53135.0,2.0,monthly,other,mobile,0
196,2,4.0,24,50,57939.0,3.0,annual,,desktop,1
197,10,2.0,1,59,67969.0,3.0,annual,other,mobile,1
198,3,,29,52,49846.0,0.0,annual,seoul,tablet,1
199,10,3.0,33,14,31543.0,1.0,monthly,gyeonggi,mobile,1
200,29,4.0,45,34,64318.0,1.0,annual,gyeonggi,mobile,0
201,11,4.0,25,49,71872.0,1.0,annual,seoul,mobile,0
202,28,0.0,67,17,53761.0,2.0,monthly,gyeonggi,mobile,0
203,15,2.0,47,41,61079.0,0.0,monthly,gyeonggi,desktop,1
204,21,4.0,72,1,47883.0,3.0,monthly,gyeonggi,desktop,0
205,14,4.0,27,53,42313.0,1.0,monthly,seoul,desktop,0
206,8,1.0,47,37,70396.0,2.0,monthly,seoul,mobile,1
207,23,6.0,27,45,60812.0,2.0,monthly,other,desktop,1
208,30,3.0,51,50,62356.0,0.0,monthly,gyeonggi,mobile,1
209,8,6.0,54,13,77532.0,0.0,monthly,other,tablet,0
210,24,1.0,24,27,,0.0,monthly,gyeonggi,desktop,0
211,8,5.0,68,52,46720.0,0.0,,other,desktop,0
212,22,3.0,62,10,57369.0,1.0,annual,seoul,desktop,0
213,24,3.0,65,50,46535.0,4.0,monthly,gyeonggi,desktop,1
214,13,3.0,16,17,66747.0,0.0,annual,gyeonggi,mobile,0
215,22,2.0,52,35,52189.0,0.0,annual,seoul,mobile,0
216,8,4.0,8,31,40112.0,3.0,monthly,seoul,desktop,1
217,2,5.0,8,41,55987.0,1.0,,gyeonggi,mobile,1
218,2,3.0,71,51,,1.0,monthly,other,mobile,1
219,13,3.0,12,21,69020.0,1.0,annual,gyeonggi,desktop,0
220,27,3.0,63,10,60897.0,0.0,monthly,seoul,mobile,0
221,3,4.0,32,25,61917.0,2.0,monthly,other,desktop,1
222,14,2.0,22,37,59804.0,1.0,annual,seoul,mobile,1
223,21,3.0,6,45,52177.0,0.0,two_year,seoul,mobile,0
224,6,,49,45,44257.0,0.0,monthly,other,desktop,1
225,22,5.0,52,20,59333.0,1.0,annual,other,mobile,0
226,9,6.0,34,57,50003.0,2.0,monthly,other,desktop,1
227,25,2.0,59,5,80347.0,,annual,other,desktop,0
228,17,2.0,24,7,75133.0,0.0,annual,gyeonggi,desktop,0
229,16,2.0,40,1,64493.0,1.0,annual,seoul,mobile,0
230,5,1.0,21,56,60677.0,2.0,monthly,seoul,desktop,1
231,14,5.0,42,10,53681.0,1.0,monthly,,mobile,0
232,26,0.0,10,36,36083.0,4.0,annual,other,mobile,0
233,0,1.0,35,49,51757.0,3.0,monthly,seoul,mobile,1
234,23,4.0,40,46,56521.0,0.0,two_year,seoul,mobile,0
235,15,5.0,41,57,58442.0,1.0,monthly,seoul,mobile,1
236,22,1.0,33,3,62043.0,3.0,monthly,seoul,mobile,0
237,20,5.0,47,24,68820.0,0.0,monthly,other,mobile,0
238,13,4.0,37,30,44618.0,,,seoul,desktop,0
239,9,3.0,21,42,44754.0,0.0,annual,gyeonggi,mobile,0
240,19,2.0,16,37,76763.0,0.0,monthly,other,mobile,1
241,4,5.0,47,34,,1.0,annual,gyeonggi,mobile,1
242,18,1.0,68,18,49138.0,1.0,annual,gyeonggi,mobile,0
243,2,2.0,55,6,53392.0,0.0,two_year,seoul,desktop,0
244,20,4.0,46,26,53459.0,0.0,annual,seoul,tablet,0
245,19,7.0,67,15,55474.0,2.0,two_year,seoul,mobile,0
246,2,6.0,65,33,62090.0,0.0,,seoul,desktop,0
247,23,4.0,37,48,93025.0,3.0,monthly,seoul,mobile,0
248,12,4.0,8,33,57846.0,3.0,two_year,seoul,tablet,1
249,24,2.0,46,35,64939.0,0.0,two_year,seoul,mobile,0
250,1,2.0,45,2,29703.0,1.0,monthly,seoul,mobile,0
251,5,4.0,20,39,47727.0,0.0,annual,other,mobile,1
252,15,2.0,62,26,73432.0,2.0,monthly,seoul,mobile,0
253,5,1.0,63,7,61035.0,2.0,annual,seoul,desktop,0
254,10,2.0,24,13,-10837.0,1.0,,other,mobile,0
255,20,6.0,35,47,65110.0,2.0,annual,seoul,mobile,0
256,4,2.0,15,55,83772.0,1.0,monthly,gyeonggi,mobile,1
257,21,3.0,13,30,25061.0,1.0,annual,other,tablet,0
258,3,1.0,20,59,77791.0,0.0,monthly,gyeonggi,desktop,1
259,5,2.0,27,10,13421.0,1.0,annual,seoul,tablet,0
260,18,5.0,20,18,69070.0,2.0,monthly,gyeonggi,desktop,0
261,24,6.0,11,56,54870.0,0.0,annual,gyeonggi,tablet,1
262,5,0.0,33,10,19750.0,2.0,monthly,seoul,mobile,1
263,9,4.0,45,40,61692.0,3.0,monthly,seoul,mobile,0
264,28,2.0,24,13,72263.0,4.0,monthly,seoul,mobile,0
265,30,,39,20,60458.0,2.0,two_year,other,mobile,0
266,18,4.0,20,29,63772.0,0.0,monthly,seoul,desktop,1
267,13,1.0,51,21,48825.0,1.0,annual,seoul,mobile,0
268,10,2.0,47,53,27079.0,3.0,monthly,gyeonggi,mobile,1
269,18,,70,59,65378.0,1.0,annual,other,desktop,0
270,18,3.0,4,30,81246.0,1.0,monthly,seoul,mobile,0
271,9,3.0,62,32,71944.0,2.0,monthly,seoul,mobile,0
272,0,3.0,25,3,25182.0,1.0,monthly,seoul,mobile,0
273,4,4.0,5,14,32277.0,0.0,monthly,gyeonggi,desktop,0
274,29,1.0,50,2,42310.0,,monthly,gyeonggi,mobile,0
275,12,2.0,13,52,31105.0,3.0,monthly,other,mobile,0
276,14,3.0,13,13,55663.0,2.0,annual,seoul,mobile,0
277,14,3.0,71,20,,0.0,two_year,seoul,desktop,0
278,24,2.0,16,51,33546.0,1.0,monthly,seoul,mobile,0
279,2,7.0,40,43,66657.0,1.0,two_year,seoul,mobile,0
280,2,3.0,15,37,64017.0,2.0,monthly,gyeonggi,tablet,0
281,8,1.0,9,2,46778.0,2.0,monthly,other,desktop,0
282,15,5.0,1,34,52412.0,1.0,monthly,seoul,mobile,0
283,20,,2,34,25753.0,3.0,monthly,gyeonggi,mobile,0
284,15,,35,19,50016.0,1.0,monthly,seoul,mobile,0
285,13,0.0,32,45,55111.0,2.0,two_year,gyeonggi,desktop,1
286,29,3.0,3,56,57531.0,1.0,annual,seoul,mobile,0
287,4,4.0,26,15,60683.0,0.0,annual,gyeonggi,tablet,0
288,17,4.0,20,20,58664.0,2.0,monthly,seoul,desktop,0
289,16,9.0,42,19,51035.0,3.0,monthly,other,desktop,0
290,14,1.0,72,50,59293.0,2.0,annual,other,mobile,1
291,25,4.0,50,4,70030.0,0.0,monthly,other,desktop,1
292,8,5.0,67,54,53568.0,0.0,monthly,other,desktop,1
293,29,9.0,14,47,59764.0,0.0,monthly,seoul,desktop,0
294,10,4.0,16,29,52207.0,1.0,monthly,gyeonggi,mobile,0
295,16,5.0,55,35,45299.0,1.0,annual,seoul,desktop,0
296,16,2.0,23,54,62843.0,0.0,monthly,other,desktop,1
297,26,3.0,62,46,46672.0,1.0,monthly,seoul,tablet,0
298,13,1.0,34,16,60792.0,2.0,two_year,seoul,desktop,1
299,8,1.0,15,3,55424.0,0.0,two_year,gyeonggi,mobile,0
300,0,2.0,61,40,50441.0,1.0,monthly,seoul,mobile,1
301,11,5.0,40,8,50078.0,2.0,monthly,gyeonggi,desktop,1
302,25,3.0,58,5,47378.0,2.0,annual,seoul,tablet,0
303,0,0.0,33,59,30313.0,1.0,monthly,,desktop,1
304,27,6.0,10,28,60743.0,4.0,monthly,other,mobile,0
305,16,4.0,50,39,58473.0,2.0,monthly,gyeonggi,mobile,0
306,4,5.0,9,13,67745.0,2.0,monthly,seoul,desktop,1
307,9,1.0,48,6,47028.0,1.0,two_year,seoul,desktop,0
308,17,1.0,31,3,83431.0,3.0,,seoul,mobile,0
309,9,2.0,57,21,49304.0,3.0,two_year,seoul,mobile,0
310,3,3.0,63,0,41873.0,,annual,gyeonggi,tablet,0
311,20,6.0,30,25,40095.0,1.0,annual,seoul,mobile,0
312,20,3.0,64,19,28991.0,3.0,annual,seoul,mobile,0
313,3,1.0,8,32,77989.0,0.0,annual,seoul,mobile,0
314,8,4.0,8,35,,0.0,monthly,other,mobile,0
315,7,3.0,72,18,64011.0,2.0,monthly,seoul,mobile,0
316,20,3.0,42,27,41559.0,3.0,annual,seoul,desktop,0
317,22,4.0,33,4,82169.0,0.0,monthly,gyeonggi,desktop,0
318,22,3.0,12,18,49724.0,0.0,monthly,seoul,desktop,0
319,29,2.0,21,59,50965.0,0.0,monthly,other,desktop,1
320,23,3.0,50,60,76559.0,3.0,annual,seoul,mobile,1
321,9,6.0,60,29,64884.0,1.0,monthly,gyeonggi,mobile,0
322,3,,66,57,88017.0,1.0,monthly,gyeonggi,mobile,1
323,19,6.0,30,30,58731.0,1.0,monthly,other,mobile,1
324,28,1.0,33,7,49045.0,3.0,monthly,gyeonggi,desktop,0
325,30,,12,52,45823.0,2.0,two_year,gyeonggi,mobile,1
326,7,3.0,6,25,27295.0,3.0,monthly,gyeonggi,desktop,0
327,7,3.0,32,37,50821.0,1.0,monthly,gyeonggi,mobile,0
328,1,4.0,42,39,72169.0,1.0,monthly,gyeonggi,mobile,1
329,4,6.0,8,18,63983.0,1.0,annual,gyeonggi,mobile,0
330,17,2.0,30,44,55305.0,1.0,annual,gyeonggi,mobile,0
331,16,7.0,47,30,40076.0,1.0,monthly,seoul,desktop,0
332,11,7.0,59,22,,0.0,monthly,seoul,desktop,0
333,9,2.0,68,18,70192.0,3.0,,seoul,mobile,0
334,25,5.0,25,45,61461.0,0.0,two_year,seoul,desktop,0
335,14,1.0,29,15,57501.0,0.0,monthly,seoul,desktop,0
336,25,3.0,63,7,43046.0,2.0,monthly,seoul,mobile,0
337,29,2.0,50,53,68008.0,2.0,,gyeonggi,mobile,0
338,9,2.0,20,20,8021.0,1.0,monthly,gyeonggi,mobile,0
339,6,1.0,50,39,60743.0,0.0,annual,gyeonggi,mobile,0
340,29,1.0,12,43,93555.0,2.0,two_year,gyeonggi,desktop,0
341,19,0.0,33,51,32374.0,2.0,two_year,seoul,mobile,0
342,9,3.0,23,38,51379.0,,annual,seoul,mobile,1
343,19,1.0,72,43,,2.0,monthly,gyeonggi,desktop,0
344,15,2.0,3,51,48061.0,1.0,two_year,other,mobile,0
345,28,3.0,62,57,70546.0,1.0,monthly,gyeonggi,desktop,1
346,7,5.0,21,2,62087.0,1.0,monthly,gyeonggi,mobile,0
347,30,3.0,3,45,57285.0,0.0,annual,gyeonggi,mobile,0
348,29,0.0,48,10,66959.0,0.0,monthly,gyeonggi,mobile,0
349,5,2.0,49,54,55251.0,0.0,annual,gyeonggi,mobile,1
350,5,6.0,11,2,,0.0,two_year,gyeonggi,mobile,0
351,16,3.0,3,15,57270.0,2.0,annual,seoul,desktop,0
352,1,2.0,9,11,57929.0,1.0,annual,seoul,desktop,1
353,9,3.0,30,36,29343.0,0.0,monthly,seoul,desktop,1
354,13,1.0,10,0,46848.0,1.0,monthly,gyeonggi,mobile,0
355,30,2.0,51,1,72211.0,3.0,annual,gyeonggi,tablet,0
356,30,5.0,6,30,34968.0,0.0,annual,seoul,mobile,0
357,4,5.0,57,59,22637.0,0.0,two_year,seoul,desktop,0
358,27,2.0,63,32,55485.0,,monthly,other,desktop,1
359,2,5.0,52,27,75561.0,3.0,monthly,seoul,desktop,0
360,23,2.0,68,40,55636.0,3.0,monthly,other,mobile,0
361,26,5.0,68,33,49958.0,0.0,annual,seoul,desktop,0
362,27,4.0,4,23,27123.0,0.0,annual,seoul,desktop,1
363,6,3.0,25,35,,2.0,two_year,,mobile,1
364,27,2.0,55,0,,1.0,monthly,seoul,desktop,0
365,3,3.0,25,14,28274.0,1.0,monthly,seoul,mobile,0
366,16,6.0,54,41,72018.0,0.0,monthly,seoul,mobile,0
367,14,3.0,56,20,66485.0,2.0,,seoul,desktop,1
368,9,1.0,72,3,71985.0,0.0,monthly,seoul,desktop,0
369,0,1.0,24,7,63753.0,0.0,annual,other,mobile,0
370,23,3.0,26,52,64805.0,0.0,monthly,seoul,mobile,1
371,10,0.0,2,20,62811.0,0.0,monthly,seoul,mobile,1
372,20,3.0,21,1,,0.0,annual,seoul,mobile,0
373,12,0.0,21,44,27719.0,3.0,annual,other,mobile,1
374,11,2.0,33,32,32484.0,2.0,monthly,other,mobile,1
375,27,,31,27,43960.0,1.0,monthly,other,desktop,0
376,2,3.0,62,54,53053.0,1.0,annual,other,mobile,0
377,22,2.0,56,19,,1.0,annual,seoul,mobile,0
378,23,7.0,53,34,59870.0,3.0,annual,gyeonggi,mobile,0
379,11,,1,45,71757.0,2.0,monthly,seoul,mobile,0
380,8,2.0,34,37,,3.0,annual,other,mobile,0
381,0,5.0,53,12,41914.0,2.0,two_year,seoul,mobile,0
382,29,,18,41,58579.0,0.0,monthly,seoul,mobile,0
383,29,3.0,31,45,42283.0,0.0,monthly,other,mobile,1
384,7,4.0,53,7,52176.0,1.0,two_year,other,mobile,0
385,0,4.0,58,10,59827.0,1.0,monthly,other,desktop,0
386,3,3.0,62,41,3869.0,1.0,annual,seoul,mobile,0
387,2,1.0,31,7,91169.0,4.0,two_year,seoul,mobile,0
388,25,3.0,29,53,63496.0,0.0,monthly,seoul,mobile,0
389,27,3.0,28,6,46064.0,,annual,gyeonggi,mobile,0
390,4,5.0,49,59,83911.0,1.0,monthly,,mobile,1
391,23,2.0,31,40,49789.0,1.0,two_year,seoul,desktop,0
392,5,2.0,29,27,56988.0,,two_year,other,mobile,0
393,11,4.0,13,16,47693.0,0.0,two_year,seoul,mobile,0
394,18,4.0,35,21,79780.0,2.0,monthly,,mobile,1
395,22,2.0,18,45,53425.0,1.0,annual,other,mobile,0
396,27,1.0,38,45,57242.0,0.0,two_year,gyeonggi,tablet,0
397,1,2.0,64,12,73057.0,1.0,annual,seoul,mobile,0
398,6,1.0,56,33,63777.0,3.0,annual,seoul,mobile,1
399,8,1.0,35,60,54185.0,1.0,monthly,seoul,mobile,1
400,9,2.0,71,15,71656.0,2.0,two_year,gyeonggi,mobile,1
401,30,2.0,71,42,93077.0,0.0,monthly,gyeonggi,mobile,1
402,24,1.0,32,10,59761.0,2.0,monthly,seoul,mobile,0
